date,product_type,demand
2023-02-14,Shoe Leather,185
2023-02-14,Wallet,120
2023-02-15,Bag,105
2023-02-15,Belt,139
2023-02-15,Custom,156
2023-02-15,Jacket Leather,195
2023-02-15,Shoe Leather,175
2023-02-15,Wallet,135
2023-02-16,Bag,108
2023-02-16,Belt,140
2023-02-16,Custom,141
2023-02-16,Jacket Leather,196
2023-02-16,Shoe Leather,158
2023-02-16,Wallet,134
2023-02-17,Bag,102
2023-02-17,Belt,139
2023-02-17,Custom,142
2023-02-17,Jacket Leather,197
2023-02-17,Shoe Leather,170
2023-02-17,Wallet,118
2023-02-18,Bag,112
2023-02-18,Belt,136
2023-02-18,Custom,133
2023-02-18,Jacket Leather,180
2023-02-18,Shoe Leather,166
2023-02-18,Wallet,118
2023-02-19,Bag,100
2023-02-19,Belt,132
2023-02-19,Custom,147
2023-02-19,Jacket Leather,176
2023-02-19,Shoe Leather,175
2023-02-19,Wallet,121
2023-02-20,Bag,99
2023-02-20,Belt,120
2023-02-20,Custom,146
2023-02-20,Jacket Leather,167
2023-02-20,Shoe Leather,140
2023-02-20,Wallet,129
2023-02-21,Bag,90
2023-02-21,Belt,115
2023-02-21,Custom,134
2023-02-21,Jacket Leather,167
2023-02-21,Shoe Leather,163
2023-02-21,Wallet,107
2023-02-22,Bag,89
2023-02-22,Belt,105
2023-02-22,Custom,136
2023-02-22,Jacket Leather,172
2023-02-22,Shoe Leather,149
2023-02-22,Wallet,109
2023-02-23,Bag,90
2023-02-23,Belt,131
2023-02-23,Custom,122
2023-02-23,Jacket Leather,178
2023-02-23,Shoe Leather,164
2023-02-23,Wallet,129
2023-02-24,Bag,99
2023-02-24,Belt,120
2023-02-24,Custom,134
2023-02-24,Jacket Leather,185
2023-02-24,Shoe Leather,166
2023-02-24,Wallet,116
2023-02-25,Bag,93
2023-02-25,Belt,120
2023-02-25,Custom,139
2023-02-25,Jacket Leather,170
2023-02-25,Shoe Leather,163
2023-02-25,Wallet,113
2023-02-26,Bag,103
2023-02-26,Belt,138
2023-02-26,Custom,168
2023-02-26,Jacket Leather,195
2023-02-26,Shoe Leather,175
2023-02-26,Wallet,131
2023-02-27,Bag,124
2023-02-27,Belt,121
2023-02-27,Custom,134
2023-02-27,Jacket Leather,181
2023-02-27,Shoe Leather,158
2023-02-27,Wallet,122
2023-02-28,Bag,116
2023-02-28,Belt,142
2023-02-28,Custom,164
2023-02-28,Jacket Leather,188
2023-02-28,Shoe Leather,185
2023-02-28,Wallet,141
2023-03-01,Bag,108
2023-03-01,Belt,141
2023-03-01,Custom,164
2023-03-01,Jacket Leather,185
2023-03-01,Shoe Leather,171
2023-03-01,Wallet,128
2023-03-02,Bag,128
2023-03-02,Belt,132
2023-03-02,Custom,161
2023-03-02,Jacket Leather,172
2023-03-02,Shoe Leather,167
2023-03-02,Wallet,138
2023-03-03,Bag,116
2023-03-03,Belt,146
2023-03-03,Custom,180
2023-03-03,Jacket Leather,210
2023-03-03,Shoe Leather,184
2023-03-03,Wallet,153
2023-03-04,Bag,104
2023-03-04,Belt,161
2023-03-04,Custom,171
2023-03-04,Jacket Leather,213
2023-03-04,Shoe Leather,170
2023-03-04,Wallet,146
2023-03-05,Bag,118
2023-03-05,Belt,163
2023-03-05,Custom,175
2023-03-05,Jacket Leather,206
2023-03-05,Shoe Leather,198
2023-03-05,Wallet,160
2023-03-06,Bag,113
2023-03-06,Belt,174
2023-03-06,Custom,174
2023-03-06,Jacket Leather,213
2023-03-06,Shoe Leather,196
2023-03-06,Wallet,155
2023-03-07,Bag,131
2023-03-07,Belt,165
2023-03-07,Custom,189
2023-03-07,Jacket Leather,221
2023-03-07,Shoe Leather,214
2023-03-07,Wallet,178
2023-03-08,Bag,137
2023-03-08,Belt,197
2023-03-08,Custom,190
2023-03-08,Jacket Leather,202
2023-03-08,Shoe Leather,210
2023-03-08,Wallet,176
2023-03-09,Bag,155
2023-03-09,Belt,155
2023-03-09,Custom,174
2023-03-09,Jacket Leather,213
2023-03-09,Shoe Leather,191
2023-03-09,Wallet,148
2023-03-10,Bag,141
2023-03-10,Belt,161
2023-03-10,Custom,167
2023-03-10,Jacket Leather,227
2023-03-10,Shoe Leather,197
2023-03-10,Wallet,167
2023-03-11,Bag,135
2023-03-11,Belt,164
2023-03-11,Custom,178
2023-03-11,Jacket Leather,206
2023-03-11,Shoe Leather,210
2023-03-11,Wallet,153
2023-03-12,Bag,144
2023-03-12,Belt,149
2023-03-12,Custom,171
2023-03-12,Jacket Leather,220
2023-03-12,Shoe Leather,211
2023-03-12,Wallet,162
2023-03-13,Bag,112
2023-03-13,Belt,171
2023-03-13,Custom,176
2023-03-13,Jacket Leather,201
2023-03-13,Shoe Leather,213
2023-03-13,Wallet,158
2023-03-14,Bag,134
2023-03-14,Belt,167
2023-03-14,Custom,186
2023-03-14,Jacket Leather,217
2023-03-14,Shoe Leather,210
2023-03-14,Wallet,144
2023-03-15,Bag,136
2023-03-15,Belt,155
2023-03-15,Custom,166
2023-03-15,Jacket Leather,208
2023-03-15,Shoe Leather,194
2023-03-15,Wallet,162
2023-03-16,Bag,109
2023-03-16,Belt,146
2023-03-16,Custom,166
2023-03-16,Jacket Leather,189
2023-03-16,Shoe Leather,195
2023-03-16,Wallet,150
2023-03-17,Bag,132
2023-03-17,Belt,132
2023-03-17,Custom,163
2023-03-17,Jacket Leather,213
2023-03-17,Shoe Leather,200
2023-03-17,Wallet,141
2023-03-18,Bag,120
2023-03-18,Belt,135
2023-03-18,Custom,167
2023-03-18,Jacket Leather,190
2023-03-18,Shoe Leather,180
2023-03-18,Wallet,136
2023-03-19,Bag,109
2023-03-19,Belt,147
2023-03-19,Custom,133
2023-03-19,Jacket Leather,185
2023-03-19,Shoe Leather,183
2023-03-19,Wallet,138
2023-03-20,Bag,116
2023-03-20,Belt,134
2023-03-20,Custom,146
2023-03-20,Jacket Leather,192
2023-03-20,Shoe Leather,173
2023-03-20,Wallet,137
2023-03-21,Bag,129
2023-03-21,Belt,129
2023-03-21,Custom,151
2023-03-21,Jacket Leather,199
2023-03-21,Shoe Leather,168
2023-03-21,Wallet,129
2023-03-22,Bag,106
2023-03-22,Belt,136
2023-03-22,Custom,159
2023-03-22,Jacket Leather,175
2023-03-22,Shoe Leather,172
2023-03-22,Wallet,100
2023-03-23,Bag,106
2023-03-23,Belt,141
2023-03-23,Custom,141
2023-03-23,Jacket Leather,184
2023-03-23,Shoe Leather,163
2023-03-23,Wallet,127
2023-03-24,Bag,98
2023-03-24,Belt,132
2023-03-24,Custom,126
2023-03-24,Jacket Leather,188
2023-03-24,Shoe Leather,168
2023-03-24,Wallet,112
2023-03-25,Bag,94
2023-03-25,Belt,133
2023-03-25,Custom,151
2023-03-25,Jacket Leather,190
2023-03-25,Shoe Leather,159
2023-03-25,Wallet,124
2023-03-26,Bag,112
2023-03-26,Belt,144
2023-03-26,Custom,140
2023-03-26,Jacket Leather,186
2023-03-26,Shoe Leather,169
2023-03-26,Wallet,114
2023-03-27,Bag,98
2023-03-27,Belt,134
2023-03-27,Custom,137
2023-03-27,Jacket Leather,183
2023-03-27,Shoe Leather,177
2023-03-27,Wallet,115
2023-03-28,Bag,110
2023-03-28,Belt,132
2023-03-28,Custom,145
2023-03-28,Jacket Leather,181
2023-03-28,Shoe Leather,170
2023-03-28,Wallet,145
2023-03-29,Bag,107
2023-03-29,Belt,146
2023-03-29,Custom,153
2023-03-29,Jacket Leather,194
2023-03-29,Shoe Leather,179
2023-03-29,Wallet,133
2023-03-30,Bag,121
2023-03-30,Belt,140
2023-03-30,Custom,152
2023-03-30,Jacket Leather,186
2023-03-30,Shoe Leather,184
2023-03-30,Wallet,136
2023-03-31,Bag,124
2023-03-31,Belt,143
2023-03-31,Custom,141
2023-03-31,Jacket Leather,172
2023-03-31,Shoe Leather,192
2023-03-31,Wallet,149
2023-04-01,Bag,135
2023-04-01,Belt,164
2023-04-01,Custom,176
2023-04-01,Jacket Leather,210
2023-04-01,Shoe Leather,190
2023-04-01,Wallet,145
2023-04-02,Bag,124
2023-04-02,Belt,153
2023-04-02,Custom,184
2023-04-02,Jacket Leather,219
2023-04-02,Shoe Leather,207
2023-04-02,Wallet,174
2023-04-03,Bag,131
2023-04-03,Belt,134
2023-04-03,Custom,182
2023-04-03,Jacket Leather,191
2023-04-03,Shoe Leather,179
2023-04-03,Wallet,154
2023-04-04,Bag,128
2023-04-04,Belt,168
2023-04-04,Custom,169
2023-04-04,Jacket Leather,208
2023-04-04,Shoe Leather,234
2023-04-04,Wallet,165
2023-04-05,Bag,137
2023-04-05,Belt,164
2023-04-05,Custom,181
2023-04-05,Jacket Leather,228
2023-04-05,Shoe Leather,199
2023-04-05,Wallet,174
2023-04-06,Bag,147
2023-04-06,Belt,167
2023-04-06,Custom,186
2023-04-06,Jacket Leather,245
2023-04-06,Shoe Leather,214
2023-04-06,Wallet,183
2023-04-07,Bag,153
2023-04-07,Belt,177
2023-04-07,Custom,194
2023-04-07,Jacket Leather,227
2023-04-07,Shoe Leather,203
2023-04-07,Wallet,162
2023-04-08,Bag,138
2023-04-08,Belt,172
2023-04-08,Custom,196
2023-04-08,Jacket Leather,220
2023-04-08,Shoe Leather,220
2023-04-08,Wallet,166
2023-04-09,Bag,156
2023-04-09,Belt,176
2023-04-09,Custom,182
2023-04-09,Jacket Leather,226
2023-04-09,Shoe Leather,217
2023-04-09,Wallet,183
2023-04-10,Bag,160
2023-04-10,Belt,153
2023-04-10,Custom,190
2023-04-10,Jacket Leather,241
2023-04-10,Shoe Leather,207
2023-04-10,Wallet,178
2023-04-11,Bag,149
2023-04-11,Belt,162
2023-04-11,Custom,192
2023-04-11,Jacket Leather,219
2023-04-11,Shoe Leather,223
2023-04-11,Wallet,179
2023-04-12,Bag,162
2023-04-12,Belt,184
2023-04-12,Custom,200
2023-04-12,Jacket Leather,216
2023-04-12,Shoe Leather,208
2023-04-12,Wallet,153
2023-04-13,Bag,133
2023-04-13,Belt,167
2023-04-13,Custom,190
2023-04-13,Jacket Leather,216
2023-04-13,Shoe Leather,212
2023-04-13,Wallet,179
2023-04-14,Bag,124
2023-04-14,Belt,147
2023-04-14,Custom,187
2023-04-14,Jacket Leather,208
2023-04-14,Shoe Leather,195
2023-04-14,Wallet,153
2023-04-15,Bag,115
2023-04-15,Belt,149
2023-04-15,Custom,176
2023-04-15,Jacket Leather,215
2023-04-15,Shoe Leather,200
2023-04-15,Wallet,159
2023-04-16,Bag,144
2023-04-16,Belt,146
2023-04-16,Custom,186
2023-04-16,Jacket Leather,226
2023-04-16,Shoe Leather,216
2023-04-16,Wallet,151
2023-04-17,Bag,132
2023-04-17,Belt,153
2023-04-17,Custom,172
2023-04-17,Jacket Leather,209
2023-04-17,Shoe Leather,202
2023-04-17,Wallet,140
2023-04-18,Bag,121
2023-04-18,Belt,144
2023-04-18,Custom,156
2023-04-18,Jacket Leather,200
2023-04-18,Shoe Leather,192
2023-04-18,Wallet,131
2023-04-19,Bag,121
2023-04-19,Belt,139
2023-04-19,Custom,175
2023-04-19,Jacket Leather,196
2023-04-19,Shoe Leather,181
2023-04-19,Wallet,125
2023-04-20,Bag,104
2023-04-20,Belt,142
2023-04-20,Custom,165
2023-04-20,Jacket Leather,181
2023-04-20,Shoe Leather,183
2023-04-20,Wallet,140
2023-04-21,Bag,138
2023-04-21,Belt,145
2023-04-21,Custom,151
2023-04-21,Jacket Leather,203
2023-04-21,Shoe Leather,182
2023-04-21,Wallet,122
2023-04-22,Bag,113
2023-04-22,Belt,136
2023-04-22,Custom,150
2023-04-22,Jacket Leather,192
2023-04-22,Shoe Leather,183
2023-04-22,Wallet,124
2023-04-23,Bag,113
2023-04-23,Belt,132
2023-04-23,Custom,157
2023-04-23,Jacket Leather,190
2023-04-23,Shoe Leather,168
2023-04-23,Wallet,133
2023-04-24,Bag,119
2023-04-24,Belt,134
2023-04-24,Custom,159
2023-04-24,Jacket Leather,225
2023-04-24,Shoe Leather,185
2023-04-24,Wallet,109
2023-04-25,Bag,118
2023-04-25,Belt,143
2023-04-25,Custom,157
2023-04-25,Jacket Leather,197
2023-04-25,Shoe Leather,169
2023-04-25,Wallet,144
2023-04-26,Bag,117
2023-04-26,Belt,142
2023-04-26,Custom,161
2023-04-26,Jacket Leather,188
2023-04-26,Shoe Leather,198
2023-04-26,Wallet,115
2023-04-27,Bag,110
2023-04-27,Belt,152
2023-04-27,Custom,177
2023-04-27,Jacket Leather,194
2023-04-27,Shoe Leather,177
2023-04-27,Wallet,141
2023-04-28,Bag,126
2023-04-28,Belt,136
2023-04-28,Custom,174
2023-04-28,Jacket Leather,213
2023-04-28,Shoe Leather,191
2023-04-28,Wallet,145
2023-04-29,Bag,144
2023-04-29,Belt,144
2023-04-29,Custom,169
2023-04-29,Jacket Leather,207
2023-04-29,Shoe Leather,202
2023-04-29,Wallet,154
2023-04-30,Bag,143
2023-04-30,Belt,164
2023-04-30,Custom,181
2023-04-30,Jacket Leather,196
2023-04-30,Shoe Leather,194
2023-04-30,Wallet,153
2023-05-01,Bag,150
2023-05-01,Belt,152
2023-05-01,Custom,166
2023-05-01,Jacket Leather,224
2023-05-01,Shoe Leather,204
2023-05-01,Wallet,178
2023-05-02,Bag,133
2023-05-02,Belt,179
2023-05-02,Custom,185
2023-05-02,Jacket Leather,212
2023-05-02,Shoe Leather,219
2023-05-02,Wallet,164
2023-05-03,Bag,133
2023-05-03,Belt,183
2023-05-03,Custom,203
2023-05-03,Jacket Leather,242
2023-05-03,Shoe Leather,215
2023-05-03,Wallet,177
2023-05-04,Bag,145
2023-05-04,Belt,187
2023-05-04,Custom,187
2023-05-04,Jacket Leather,238
2023-05-04,Shoe Leather,217
2023-05-04,Wallet,163
2023-05-05,Bag,151
2023-05-05,Belt,168
2023-05-05,Custom,184
2023-05-05,Jacket Leather,226
2023-05-05,Shoe Leather,200
2023-05-05,Wallet,175
2023-05-06,Bag,164
2023-05-06,Belt,180
2023-05-06,Custom,189
2023-05-06,Jacket Leather,246
2023-05-06,Shoe Leather,210
2023-05-06,Wallet,192
2023-05-07,Bag,138
2023-05-07,Belt,176
2023-05-07,Custom,186
2023-05-07,Jacket Leather,236
2023-05-07,Shoe Leather,232
2023-05-07,Wallet,176
2023-05-08,Bag,171
2023-05-08,Belt,192
2023-05-08,Custom,190
2023-05-08,Jacket Leather,245
2023-05-08,Shoe Leather,228
2023-05-08,Wallet,181
2023-05-09,Bag,155
2023-05-09,Belt,200
2023-05-09,Custom,195
2023-05-09,Jacket Leather,242
2023-05-09,Shoe Leather,230
2023-05-09,Wallet,190
2023-05-10,Bag,151
2023-05-10,Belt,191
2023-05-10,Custom,184
2023-05-10,Jacket Leather,228
2023-05-10,Shoe Leather,229
2023-05-10,Wallet,172
2023-05-11,Bag,144
2023-05-11,Belt,181
2023-05-11,Custom,197
2023-05-11,Jacket Leather,228
2023-05-11,Shoe Leather,234
2023-05-11,Wallet,156
2023-05-12,Bag,136
2023-05-12,Belt,175
2023-05-12,Custom,203
2023-05-12,Jacket Leather,243
2023-05-12,Shoe Leather,216
2023-05-12,Wallet,178
2023-05-13,Bag,158
2023-05-13,Belt,182
2023-05-13,Custom,183
2023-05-13,Jacket Leather,227
2023-05-13,Shoe Leather,217
2023-05-13,Wallet,183
2023-05-14,Bag,147
2023-05-14,Belt,160
2023-05-14,Custom,203
2023-05-14,Jacket Leather,223
2023-05-14,Shoe Leather,202
2023-05-14,Wallet,156
2023-05-15,Bag,129
2023-05-15,Belt,174
2023-05-15,Custom,190
2023-05-15,Jacket Leather,213
2023-05-15,Shoe Leather,196
2023-05-15,Wallet,172
2023-05-16,Bag,125
2023-05-16,Belt,156
2023-05-16,Custom,191
2023-05-16,Jacket Leather,223
2023-05-16,Shoe Leather,189
2023-05-16,Wallet,169
2023-05-17,Bag,131
2023-05-17,Belt,167
2023-05-17,Custom,170
2023-05-17,Jacket Leather,236
2023-05-17,Shoe Leather,192
2023-05-17,Wallet,135
2023-05-18,Bag,148
2023-05-18,Belt,156
2023-05-18,Custom,182
2023-05-18,Jacket Leather,201
2023-05-18,Shoe Leather,213
2023-05-18,Wallet,145
2023-05-19,Bag,125
2023-05-19,Belt,150
2023-05-19,Custom,159
2023-05-19,Jacket Leather,208
2023-05-19,Shoe Leather,179
2023-05-19,Wallet,147
2023-05-20,Bag,110
2023-05-20,Belt,143
2023-05-20,Custom,176
2023-05-20,Jacket Leather,220
2023-05-20,Shoe Leather,188
2023-05-20,Wallet,146
2023-05-21,Bag,120
2023-05-21,Belt,146
2023-05-21,Custom,167
2023-05-21,Jacket Leather,202
2023-05-21,Shoe Leather,176
2023-05-21,Wallet,139
2023-05-22,Bag,118
2023-05-22,Belt,153
2023-05-22,Custom,169
2023-05-22,Jacket Leather,206
2023-05-22,Shoe Leather,182
2023-05-22,Wallet,137
2023-05-23,Bag,94
2023-05-23,Belt,158
2023-05-23,Custom,151
2023-05-23,Jacket Leather,191
2023-05-23,Shoe Leather,189
2023-05-23,Wallet,161
2023-05-24,Bag,120
2023-05-24,Belt,153
2023-05-24,Custom,154
2023-05-24,Jacket Leather,206
2023-05-24,Shoe Leather,181
2023-05-24,Wallet,143
2023-05-25,Bag,120
2023-05-25,Belt,162
2023-05-25,Custom,170
2023-05-25,Jacket Leather,201
2023-05-25,Shoe Leather,200
2023-05-25,Wallet,139
2023-05-26,Bag,131
2023-05-26,Belt,176
2023-05-26,Custom,157
2023-05-26,Jacket Leather,215
2023-05-26,Shoe Leather,206
2023-05-26,Wallet,147
2023-05-27,Bag,145
2023-05-27,Belt,150
2023-05-27,Custom,174
2023-05-27,Jacket Leather,219
2023-05-27,Shoe Leather,171
2023-05-27,Wallet,156
2023-05-28,Bag,142
2023-05-28,Belt,155
2023-05-28,Custom,159
2023-05-28,Jacket Leather,237
2023-05-28,Shoe Leather,190
2023-05-28,Wallet,154
2023-05-29,Bag,132
2023-05-29,Belt,146
2023-05-29,Custom,185
2023-05-29,Jacket Leather,221
2023-05-29,Shoe Leather,202
2023-05-29,Wallet,156
2023-05-30,Bag,127
2023-05-30,Belt,177
2023-05-30,Custom,168
2023-05-30,Jacket Leather,222
2023-05-30,Shoe Leather,216
2023-05-30,Wallet,155
2023-05-31,Bag,169
2023-05-31,Belt,183
2023-05-31,Custom,191
2023-05-31,Jacket Leather,226
2023-05-31,Shoe Leather,205
2023-05-31,Wallet,160
2023-06-01,Bag,148
2023-06-01,Belt,165
2023-06-01,Custom,196
2023-06-01,Jacket Leather,225
2023-06-01,Shoe Leather,214
2023-06-01,Wallet,165
2023-06-02,Bag,152
2023-06-02,Belt,184
2023-06-02,Custom,187
2023-06-02,Jacket Leather,236
2023-06-02,Shoe Leather,207
2023-06-02,Wallet,179
2023-06-03,Bag,155
2023-06-03,Belt,194
2023-06-03,Custom,204
2023-06-03,Jacket Leather,233
2023-06-03,Shoe Leather,207
2023-06-03,Wallet,169
2023-06-04,Bag,161
2023-06-04,Belt,188
2023-06-04,Custom,204
2023-06-04,Jacket Leather,241
2023-06-04,Shoe Leather,240
2023-06-04,Wallet,186
2023-06-05,Bag,160
2023-06-05,Belt,197
2023-06-05,Custom,199
2023-06-05,Jacket Leather,256
2023-06-05,Shoe Leather,210
2023-06-05,Wallet,199
2023-06-06,Bag,158
2023-06-06,Belt,192
2023-06-06,Custom,196
2023-06-06,Jacket Leather,234
2023-06-06,Shoe Leather,254
2023-06-06,Wallet,191
2023-06-07,Bag,159
2023-06-07,Belt,179
2023-06-07,Custom,188
2023-06-07,Jacket Leather,257
2023-06-07,Shoe Leather,239
2023-06-07,Wallet,185
2023-06-08,Bag,165
2023-06-08,Belt,202
2023-06-08,Custom,211
2023-06-08,Jacket Leather,259
2023-06-08,Shoe Leather,239
2023-06-08,Wallet,176
2023-06-09,Bag,159
2023-06-09,Belt,205
2023-06-09,Custom,191
2023-06-09,Jacket Leather,244
2023-06-09,Shoe Leather,237
2023-06-09,Wallet,204
2023-06-10,Bag,156
2023-06-10,Belt,197
2023-06-10,Custom,207
2023-06-10,Jacket Leather,223
