worker_id,timestamp,status,confidence
W053,2026-03-19 08:25:21,Present,0.9
W041,2026-03-19 08:27:11,Present,0.95
W063,2026-03-19 08:27:35,Present,0.95
W031,2026-03-19 08:29:48,Present,0.99
W013,2026-03-19 08:30:41,Present,0.9
W028,2026-03-19 08:31:53,Present,0.86
W078,2026-03-19 08:32:28,Present,0.89
W021,2026-03-19 08:34:11,Present,0.86
W089,2026-03-19 08:35:30,Present,0.95
W086,2026-03-19 08:35:52,Present,0.96
W016,2026-03-19 08:39:28,Present,0.93
W004,2026-03-19 08:41:07,Present,0.87
W049,2026-03-19 08:41:49,Present,0.87
W023,2026-03-19 08:45:32,Present,0.97
W018,2026-03-19 08:49:09,Present,0.88
W040,2026-03-19 08:53:07,Present,0.94
W010,2026-03-19 08:54:59,Present,0.87
W008,2026-03-19 08:58:58,Present,0.87
W083,2026-03-19 08:59:35,Present,0.92
W057,2026-03-19 09:00:22,Present,0.94
W007,2026-03-19 09:02:49,Present,0.98
W069,2026-03-19 09:03:18,Present,0.92
W065,2026-03-19 09:09:01,Present,0.92
W096,2026-03-19 09:12:39,Present,0.93
W099,2026-03-19 09:14:57,Present,0.87
W056,2026-03-19 09:16:32,Present,0.92
W067,2026-03-19 09:17:36,Present,0.88
W009,2026-03-19 09:17:54,Present,0.96
W048,2026-03-19 09:17:59,Present,0.85
W071,2026-03-19 09:25:18,Present,0.97
W044,2026-03-19 09:26:00,Present,0.94
W075,2026-03-19 09:28:50,Present,0.94
W047,2026-03-19 09:31:43,Present,0.99
W061,2026-03-19 09:31:50,Present,0.91
W011,2026-03-19 09:33:55,Present,0.96
W094,2026-03-19 09:36:16,Present,0.95
W042,2026-03-19 09:37:47,Present,0.87
W001,2026-03-19 09:40:10,Present,0.88
W046,2026-03-19 09:42:40,Present,0.86
W024,2026-03-19 09:44:32,Present,0.86
W015,2026-03-19 09:44:33,Present,0.9
W064,2026-03-19 09:48:57,Present,0.93
W006,2026-03-19 09:57:50,Present,0.98
W060,2026-03-20 07:04:06,Present,0.9
W076,2026-03-20 07:04:54,Present,0.92
W040,2026-03-20 07:06:38,Present,0.86
W072,2026-03-20 07:07:06,Present,0.89
W014,2026-03-20 07:09:15,Present,0.95
W061,2026-03-20 07:09:58,Present,0.9
W078,2026-03-20 07:12:01,Present,0.86
W035,2026-03-20 07:14:32,Present,0.97
W021,2026-03-20 07:18:04,Present,0.95
W100,2026-03-20 07:19:29,Present,0.93
W098,2026-03-20 07:19:30,Present,0.96
W009,2026-03-20 07:23:07,Present,0.95
W029,2026-03-20 07:27:50,Present,0.92
W068,2026-03-20 07:28:23,Present,0.85
W080,2026-03-20 07:32:57,Present,0.94
W086,2026-03-20 07:37:23,Present,0.98
W094,2026-03-20 07:38:47,Present,0.92
W085,2026-03-20 07:44:32,Present,0.87
W070,2026-03-20 07:47:24,Present,0.89
W044,2026-03-20 07:50:19,Present,0.94
W033,2026-03-20 07:50:40,Present,0.97
W003,2026-03-20 07:52:13,Present,0.99
W096,2026-03-20 07:52:50,Present,0.9
W077,2026-03-20 07:54:46,Present,0.88
W027,2026-03-20 07:55:47,Present,0.91
W016,2026-03-20 07:58:06,Present,0.92
W090,2026-03-20 07:59:47,Present,0.96
W028,2026-03-20 08:00:46,Present,0.9
W082,2026-03-20 08:02:21,Present,0.88
W036,2026-03-20 08:08:55,Present,0.98
W020,2026-03-20 08:11:52,Present,0.93
W008,2026-03-20 08:12:13,Present,0.98
W071,2026-03-20 08:22:14,Present,0.85
W010,2026-03-20 08:23:43,Present,0.87
W069,2026-03-20 08:25:01,Present,0.97
W006,2026-03-20 08:25:44,Present,0.97
W062,2026-03-20 08:29:26,Present,0.99
W042,2026-03-20 08:30:16,Present,0.92
W093,2026-03-20 08:35:41,Present,0.94
W066,2026-03-20 08:35:55,Present,0.94
W059,2026-03-20 08:39:52,Present,0.88
W051,2026-03-20 08:41:04,Present,0.98
W011,2026-03-20 08:43:51,Present,0.87
W097,2026-03-20 08:44:47,Present,0.85
W055,2026-03-20 08:48:25,Present,0.92
W039,2026-03-20 08:55:26,Present,0.92
W005,2026-03-20 08:57:27,Present,0.96
W075,2026-03-20 08:58:31,Present,0.9
W046,2026-03-20 09:02:31,Present,0.91
W099,2026-03-20 09:03:32,Present,0.99
W065,2026-03-20 09:03:51,Present,0.96
W091,2026-03-20 09:05:53,Present,0.9
W026,2026-03-20 09:06:45,Present,0.98
W064,2026-03-20 09:09:05,Present,0.93
W030,2026-03-20 09:11:36,Present,0.89
W017,2026-03-20 09:12:30,Present,0.91
W067,2026-03-20 09:13:45,Present,0.96
W022,2026-03-20 09:14:32,Present,0.96
W007,2026-03-20 09:16:12,Present,0.94
W013,2026-03-20 09:18:42,Present,0.86
W084,2026-03-20 09:19:04,Present,0.97
W043,2026-03-20 09:24:00,Present,0.96
W089,2026-03-20 09:28:43,Present,0.93
W015,2026-03-20 09:29:15,Present,0.96
W025,2026-03-20 09:31:44,Present,0.93
W053,2026-03-20 09:31:47,Present,0.9
W054,2026-03-20 09:32:04,Present,0.87
W018,2026-03-20 09:33:49,Present,0.89
W037,2026-03-20 09:34:00,Present,0.92
W019,2026-03-20 09:38:45,Present,0.85
W041,2026-03-20 09:39:13,Present,0.93
W023,2026-03-20 09:40:30,Present,0.91
W034,2026-03-20 09:41:20,Present,0.89
W073,2026-03-20 09:41:32,Present,0.97
W004,2026-03-20 09:42:30,Present,0.92
W012,2026-03-20 09:43:49,Present,0.98
W047,2026-03-20 09:45:37,Present,0.99
W002,2026-03-20 09:46:52,Present,0.91
W052,2026-03-20 09:48:16,Present,0.98
W079,2026-03-20 09:52:06,Present,0.89
W088,2026-03-20 09:56:35,Present,0.99
W050,2026-03-20 09:56:57,Present,0.91
W074,2026-03-20 09:57:48,Present,0.85
W001,2026-03-20 09:58:53,Present,0.92
W014,2026-03-21 07:01:07,Present,0.85
W046,2026-03-21 07:01:11,Present,0.9
W016,2026-03-21 07:03:31,Present,0.89
W063,2026-03-21 07:05:19,Present,0.88
W040,2026-03-21 07:07:38,Present,0.94
W081,2026-03-21 07:10:02,Present,0.92
W085,2026-03-21 07:14:45,Present,0.99
W097,2026-03-21 07:16:02,Present,0.86
W100,2026-03-21 07:17:08,Present,0.87
W090,2026-03-21 07:20:49,Present,0.9
W074,2026-03-21 07:22:40,Present,0.85
W086,2026-03-21 07:27:20,Present,0.92
W088,2026-03-21 07:28:14,Present,0.99
W028,2026-03-21 07:28:53,Present,0.88
W011,2026-03-21 07:31:44,Present,0.94
W060,2026-03-21 07:32:10,Present,0.98
W068,2026-03-21 07:34:47,Present,0.96
W037,2026-03-21 07:37:08,Present,0.87
W003,2026-03-21 07:39:27,Present,0.91
W041,2026-03-21 07:39:41,Present,0.98
W049,2026-03-21 07:42:15,Present,0.86
W002,2026-03-21 07:45:11,Present,0.9
W064,2026-03-21 07:46:17,Present,0.99
W065,2026-03-21 07:46:36,Present,0.92
W082,2026-03-21 07:48:01,Present,0.86
W030,2026-03-21 07:49:55,Present,0.95
W054,2026-03-21 07:51:05,Present,0.98
W010,2026-03-21 07:53:23,Present,0.96
W078,2026-03-21 07:54:28,Present,0.94
W045,2026-03-21 07:55:15,Present,0.94
W005,2026-03-21 07:55:26,Present,0.93
W001,2026-03-21 07:56:18,Present,0.99
W036,2026-03-21 07:59:37,Present,0.87
W092,2026-03-21 08:01:30,Present,0.98
W048,2026-03-21 08:02:45,Present,0.93
W020,2026-03-21 08:05:45,Present,0.86
W004,2026-03-21 08:07:32,Present,0.88
W008,2026-03-21 08:10:22,Present,0.97
W029,2026-03-21 08:20:09,Present,0.97
W079,2026-03-21 08:22:52,Present,0.88
W093,2026-03-21 08:22:59,Present,0.96
W099,2026-03-21 08:31:47,Present,0.91
W066,2026-03-21 08:31:50,Present,0.86
W012,2026-03-21 08:33:21,Present,0.86
W018,2026-03-21 08:33:30,Present,0.97
W024,2026-03-21 08:34:47,Present,0.9
W072,2026-03-21 08:35:45,Present,0.95
W095,2026-03-21 08:39:25,Present,0.94
W069,2026-03-21 08:41:24,Present,0.86
W083,2026-03-21 08:48:43,Present,0.89
W067,2026-03-21 08:50:39,Present,0.98
W026,2026-03-21 08:54:18,Present,0.86
W032,2026-03-21 08:55:44,Present,0.87
W073,2026-03-21 08:56:49,Present,0.89
W059,2026-03-21 08:57:28,Present,0.89
W021,2026-03-21 08:58:13,Present,0.89
W062,2026-03-21 08:58:55,Present,0.94
W053,2026-03-21 09:00:28,Present,0.87
W035,2026-03-21 09:02:52,Present,0.97
W056,2026-03-21 09:06:37,Present,0.9
W034,2026-03-21 09:08:21,Present,0.9
W061,2026-03-21 09:10:07,Present,0.92
W022,2026-03-21 09:11:58,Present,0.86
W052,2026-03-21 09:16:48,Present,0.86
W091,2026-03-21 09:18:21,Present,0.95
W055,2026-03-21 09:18:26,Present,0.94
W058,2026-03-21 09:19:33,Present,0.95
W039,2026-03-21 09:23:00,Present,0.9
W043,2026-03-21 09:28:27,Present,0.91
W007,2026-03-21 09:32:16,Present,0.92
W077,2026-03-21 09:36:42,Present,0.86
W042,2026-03-21 09:41:27,Present,0.99
W076,2026-03-21 09:43:26,Present,0.86
W038,2026-03-21 09:44:45,Present,0.9
W031,2026-03-21 09:47:57,Present,0.89
W006,2026-03-21 09:48:19,Present,0.92
W094,2026-03-21 09:48:56,Present,0.88
W033,2026-03-21 09:49:13,Present,0.99
W084,2026-03-21 09:49:24,Present,0.94
W050,2026-03-21 09:52:39,Present,0.91
W096,2026-03-21 09:53:10,Present,0.94
W044,2026-03-21 09:54:14,Present,0.86
W017,2026-03-21 09:55:07,Present,0.95
W057,2026-03-21 09:59:58,Present,0.94
W048,2026-03-22 07:02:47,Present,0.91
W096,2026-03-22 07:03:33,Present,0.85
W037,2026-03-22 07:09:30,Present,0.89
W073,2026-03-22 07:09:37,Present,0.85
W082,2026-03-22 07:10:13,Present,0.86
W004,2026-03-22 07:12:29,Present,0.94
W024,2026-03-22 07:14:35,Present,0.94
W009,2026-03-22 07:15:17,Present,0.96
W012,2026-03-22 07:16:32,Present,0.91
W081,2026-03-22 07:19:31,Present,0.91
W008,2026-03-22 07:19:56,Present,0.88
W028,2026-03-22 07:19:56,Present,0.91
W016,2026-03-22 07:20:50,Present,0.96
W053,2026-03-22 07:24:24,Present,0.98
W088,2026-03-22 07:25:00,Present,0.98
W006,2026-03-22 07:26:12,Present,0.97
W100,2026-03-22 07:27:21,Present,0.92
W033,2026-03-22 07:28:25,Present,0.91
W018,2026-03-22 07:30:02,Present,0.95
W038,2026-03-22 07:37:57,Present,0.88
W057,2026-03-22 07:44:58,Present,0.92
W059,2026-03-22 07:50:34,Present,0.9
W062,2026-03-22 07:52:16,Present,0.96
W021,2026-03-22 07:55:38,Present,0.9
W002,2026-03-22 08:01:11,Present,0.93
W030,2026-03-22 08:01:33,Present,0.87
W015,2026-03-22 08:02:44,Present,0.93
W046,2026-03-22 08:03:44,Present,0.96
W035,2026-03-22 08:05:51,Present,0.98
W092,2026-03-22 08:06:27,Present,0.89
W052,2026-03-22 08:08:33,Present,0.9
W084,2026-03-22 08:09:42,Present,0.93
W076,2026-03-22 08:15:24,Present,0.85
W068,2026-03-22 08:15:48,Present,0.86
W039,2026-03-22 08:16:44,Present,0.86
W063,2026-03-22 08:16:57,Present,0.87
W099,2026-03-22 08:17:32,Present,0.98
W070,2026-03-22 08:19:07,Present,0.88
W085,2026-03-22 08:19:19,Present,0.86
W023,2026-03-22 08:19:28,Present,0.93
W074,2026-03-22 08:23:53,Present,0.97
W075,2026-03-22 08:25:27,Present,0.92
W077,2026-03-22 08:26:58,Present,0.93
W003,2026-03-22 08:27:44,Present,0.95
W019,2026-03-22 08:30:45,Present,0.91
W050,2026-03-22 08:33:39,Present,0.86
W047,2026-03-22 08:37:47,Present,0.86
W049,2026-03-22 08:39:54,Present,0.96
W079,2026-03-22 08:41:25,Present,0.98
W061,2026-03-22 08:45:39,Present,0.96
W022,2026-03-22 08:50:48,Present,0.88
W040,2026-03-22 08:51:38,Present,0.9
W094,2026-03-22 08:53:16,Present,0.87
W045,2026-03-22 08:55:57,Present,0.87
W090,2026-03-22 08:57:05,Present,0.93
W029,2026-03-22 08:58:46,Present,0.87
W041,2026-03-22 09:03:25,Present,0.88
W080,2026-03-22 09:05:17,Present,0.91
W032,2026-03-22 09:06:43,Present,0.95
W027,2026-03-22 09:06:52,Present,0.94
W087,2026-03-22 09:12:34,Present,0.9
W065,2026-03-22 09:13:12,Present,0.99
W060,2026-03-22 09:13:43,Present,0.91
W054,2026-03-22 09:15:31,Present,0.95
W017,2026-03-22 09:18:39,Present,0.88
W064,2026-03-22 09:19:56,Present,0.98
W036,2026-03-22 09:21:35,Present,0.94
W056,2026-03-22 09:24:42,Present,0.92
W086,2026-03-22 09:26:38,Present,0.91
W078,2026-03-22 09:29:36,Present,0.92
W091,2026-03-22 09:32:19,Present,0.89
W020,2026-03-22 09:39:19,Present,0.94
W069,2026-03-22 09:41:34,Present,0.87
W067,2026-03-22 09:44:04,Present,0.93
W007,2026-03-22 09:44:46,Present,0.89
W026,2026-03-22 09:45:48,Present,0.93
W014,2026-03-22 09:49:46,Present,0.93
W044,2026-03-22 09:49:51,Present,0.96
W010,2026-03-22 09:52:30,Present,0.97
W013,2026-03-22 09:53:09,Present,0.85
W042,2026-03-22 09:56:18,Present,0.89
W093,2026-03-22 09:57:15,Present,0.85
W043,2026-03-22 09:57:16,Present,0.86
W071,2026-03-22 09:59:48,Present,0.94
W063,2026-03-23 07:00:17,Present,0.91
W061,2026-03-23 07:06:23,Present,0.93
W033,2026-03-23 07:10:16,Present,0.87
W072,2026-03-23 07:12:34,Present,0.89
W038,2026-03-23 07:12:53,Present,0.86
W026,2026-03-23 07:13:32,Present,0.89
W044,2026-03-23 07:15:16,Present,0.93
W040,2026-03-23 07:15:27,Present,0.89
W084,2026-03-23 07:23:44,Present,0.99
W055,2026-03-23 07:23:54,Present,0.98
W050,2026-03-23 07:24:12,Present,0.94
W029,2026-03-23 07:24:37,Present,0.93
W027,2026-03-23 07:26:36,Present,0.9
W086,2026-03-23 07:36:21,Present,0.98
W018,2026-03-23 07:36:31,Present,0.88
W093,2026-03-23 07:38:39,Present,0.86
W067,2026-03-23 07:41:05,Present,0.93
W099,2026-03-23 07:45:18,Present,0.89
W013,2026-03-23 07:46:11,Present,0.95
W020,2026-03-23 07:46:58,Present,0.99
W047,2026-03-23 07:47:34,Present,0.9
W075,2026-03-23 07:51:02,Present,0.98
W006,2026-03-23 07:51:53,Present,0.85
W053,2026-03-23 07:51:57,Present,0.97
W071,2026-03-23 07:53:35,Present,0.91
W094,2026-03-23 07:54:13,Present,0.99
W017,2026-03-23 07:55:10,Present,0.96
W002,2026-03-23 07:56:13,Present,0.96
W028,2026-03-23 07:56:56,Present,0.87
W012,2026-03-23 08:00:01,Present,0.92
W041,2026-03-23 08:01:10,Present,0.91
W095,2026-03-23 08:02:05,Present,0.95
W042,2026-03-23 08:04:47,Present,0.91
W100,2026-03-23 08:08:46,Present,0.94
W005,2026-03-23 08:14:15,Present,0.92
W059,2026-03-23 08:19:06,Present,0.88
W046,2026-03-23 08:23:44,Present,0.86
W025,2026-03-23 08:24:43,Present,0.96
W081,2026-03-23 08:26:27,Present,0.99
W043,2026-03-23 08:26:59,Present,0.95
W031,2026-03-23 08:27:11,Present,0.86
W069,2026-03-23 08:27:17,Present,0.94
W008,2026-03-23 08:27:17,Present,0.9
W051,2026-03-23 08:30:26,Present,0.94
W091,2026-03-23 08:32:53,Present,0.85
W001,2026-03-23 08:33:46,Present,0.93
W036,2026-03-23 08:40:42,Present,0.86
W074,2026-03-23 08:41:24,Present,0.94
W048,2026-03-23 08:43:23,Present,0.91
W079,2026-03-23 08:47:51,Present,0.91
W007,2026-03-23 08:49:05,Present,0.94
W039,2026-03-23 08:49:39,Present,0.88
W022,2026-03-23 08:50:31,Present,0.92
W089,2026-03-23 08:51:44,Present,0.92
W064,2026-03-23 08:53:13,Present,0.95
W045,2026-03-23 08:54:50,Present,0.85
W037,2026-03-23 08:55:02,Present,0.89
W058,2026-03-23 08:55:49,Present,0.95
W073,2026-03-23 09:01:15,Present,0.87
W023,2026-03-23 09:03:14,Present,0.98
W054,2026-03-23 09:06:28,Present,0.98
W076,2026-03-23 09:07:20,Present,0.86
W092,2026-03-23 09:07:24,Present,0.98
W057,2026-03-23 09:07:27,Present,0.85
W077,2026-03-23 09:07:39,Present,0.89
W065,2026-03-23 09:11:41,Present,0.93
W085,2026-03-23 09:12:13,Present,0.98
W090,2026-03-23 09:15:49,Present,0.92
W016,2026-03-23 09:21:01,Present,0.93
W049,2026-03-23 09:21:36,Present,0.88
W014,2026-03-23 09:24:27,Present,0.97
W066,2026-03-23 09:25:10,Present,0.9
W032,2026-03-23 09:25:55,Present,0.96
W004,2026-03-23 09:27:01,Present,0.93
W021,2026-03-23 09:28:35,Present,0.94
W052,2026-03-23 09:30:02,Present,0.98
W078,2026-03-23 09:33:34,Present,0.95
W030,2026-03-23 09:34:20,Present,0.93
W070,2026-03-23 09:36:31,Present,0.86
W082,2026-03-23 09:37:37,Present,0.89
W098,2026-03-23 09:38:06,Present,0.95
W068,2026-03-23 09:41:11,Present,0.91
W088,2026-03-23 09:42:38,Present,0.94
W009,2026-03-23 09:48:12,Present,0.93
W083,2026-03-23 09:49:15,Present,0.85
W080,2026-03-23 09:57:00,Present,0.86
W034,2026-03-23 09:58:12,Present,0.9
W089,2026-03-24 07:04:41,Present,0.89
W061,2026-03-24 07:04:52,Present,0.86
W055,2026-03-24 07:05:48,Present,0.87
W008,2026-03-24 07:09:23,Present,0.96
W082,2026-03-24 07:15:09,Present,0.85
W029,2026-03-24 07:20:11,Present,0.93
W032,2026-03-24 07:20:39,Present,0.85
W065,2026-03-24 07:27:40,Present,0.88
W100,2026-03-24 07:30:00,Present,0.97
W003,2026-03-24 07:32:51,Present,0.99
W087,2026-03-24 07:38:28,Present,0.98
W041,2026-03-24 07:38:56,Present,0.87
W043,2026-03-24 07:39:11,Present,0.93
W019,2026-03-24 07:39:52,Present,0.98
W009,2026-03-24 07:46:19,Present,0.86
W052,2026-03-24 07:46:31,Present,0.98
W095,2026-03-24 07:50:22,Present,0.95
W025,2026-03-24 07:52:21,Present,0.85
W056,2026-03-24 07:55:23,Present,0.92
W006,2026-03-24 07:55:32,Present,0.86
W099,2026-03-24 07:55:42,Present,0.93
W001,2026-03-24 07:56:39,Present,0.89
W016,2026-03-24 07:57:46,Present,0.93
W073,2026-03-24 07:58:58,Present,0.89
W084,2026-03-24 08:00:19,Present,0.85
W011,2026-03-24 08:00:41,Present,0.92
W066,2026-03-24 08:04:26,Present,0.85
W031,2026-03-24 08:06:55,Present,0.87
W037,2026-03-24 08:07:24,Present,0.94
W010,2026-03-24 08:09:09,Present,0.98
W083,2026-03-24 08:10:28,Present,0.94
W047,2026-03-24 08:12:07,Present,0.91
W053,2026-03-24 08:15:35,Present,0.87
W022,2026-03-24 08:15:47,Present,0.88
W013,2026-03-24 08:16:18,Present,0.97
W058,2026-03-24 08:17:15,Present,0.85
W046,2026-03-24 08:19:48,Present,0.92
W002,2026-03-24 08:19:49,Present,0.89
W075,2026-03-24 08:19:54,Present,0.91
W018,2026-03-24 08:24:09,Present,0.93
W067,2026-03-24 08:26:57,Present,0.92
W093,2026-03-24 08:32:08,Present,0.89
W074,2026-03-24 08:32:13,Present,0.89
W007,2026-03-24 08:34:10,Present,0.92
W080,2026-03-24 08:35:36,Present,0.96
W072,2026-03-24 08:36:38,Present,0.88
W030,2026-03-24 08:37:45,Present,0.93
W078,2026-03-24 08:38:35,Present,0.89
W085,2026-03-24 08:39:50,Present,0.87
W088,2026-03-24 08:43:58,Present,0.9
W049,2026-03-24 08:44:27,Present,0.99
W045,2026-03-24 08:45:16,Present,0.93
W081,2026-03-24 08:45:25,Present,0.86
W094,2026-03-24 08:46:05,Present,0.95
W024,2026-03-24 08:48:18,Present,0.93
W076,2026-03-24 08:50:31,Present,0.9
W048,2026-03-24 08:51:36,Present,0.95
W034,2026-03-24 08:52:27,Present,0.87
W050,2026-03-24 08:55:26,Present,0.97
W060,2026-03-24 08:58:36,Present,0.92
W044,2026-03-24 08:59:26,Present,0.95
W064,2026-03-24 09:02:05,Present,0.85
W004,2026-03-24 09:04:20,Present,0.94
W017,2026-03-24 09:06:05,Present,0.94
W092,2026-03-24 09:07:59,Present,0.86
W086,2026-03-24 09:08:56,Present,0.98
W027,2026-03-24 09:11:49,Present,0.9
W014,2026-03-24 09:17:57,Present,0.98
W059,2026-03-24 09:19:00,Present,0.89
W098,2026-03-24 09:21:23,Present,0.88
W042,2026-03-24 09:24:59,Present,0.85
W068,2026-03-24 09:26:26,Present,0.86
W039,2026-03-24 09:29:23,Present,0.89
W069,2026-03-24 09:30:55,Present,0.86
W097,2026-03-24 09:32:37,Present,0.93
W054,2026-03-24 09:32:55,Present,0.88
W021,2026-03-24 09:33:40,Present,0.99
W020,2026-03-24 09:40:40,Present,0.97
W036,2026-03-24 09:43:38,Present,0.89
W079,2026-03-24 09:47:18,Present,0.86
W070,2026-03-24 09:47:48,Present,0.91
W071,2026-03-24 09:47:55,Present,0.97
W051,2026-03-24 09:48:29,Present,0.95
W062,2026-03-24 09:52:12,Present,0.89
W035,2026-03-24 09:54:38,Present,0.97
W057,2026-03-24 09:57:14,Present,0.97
W006,2026-03-25 07:01:38,Present,0.93
W062,2026-03-25 07:02:33,Present,0.86
W046,2026-03-25 07:06:20,Present,0.92
W065,2026-03-25 07:06:38,Present,0.96
W038,2026-03-25 07:07:38,Present,0.89
W067,2026-03-25 07:08:33,Present,0.92
W047,2026-03-25 07:13:17,Present,0.95
W073,2026-03-25 07:14:47,Present,0.88
W039,2026-03-25 07:15:45,Present,0.89
W069,2026-03-25 07:16:39,Present,0.93
W057,2026-03-25 07:22:02,Present,0.86
W068,2026-03-25 07:23:27,Present,0.87
W001,2026-03-25 07:25:12,Present,0.91
W051,2026-03-25 07:25:44,Present,0.87
