date,stage,machine_available,labor_shifts,throughput
2026-01-26,Drying,5,3,50
2026-01-26,Finishing,7,2,101
2026-01-27,Tanning,8,3,59
2026-01-27,Drying,9,2,147
2026-01-27,Finishing,8,1,109
2026-01-28,Tanning,3,1,123
2026-01-28,Drying,5,3,91
2026-01-28,Finishing,5,1,81
2026-01-29,Tanning,9,2,76
2026-01-29,Drying,6,1,113
2026-01-29,Finishing,8,3,107
2026-01-30,Tanning,4,3,85
2026-01-30,Drying,4,3,62
2026-01-30,Finishing,9,1,136
2026-01-31,Tanning,6,2,112
2026-01-31,Drying,4,1,124
2026-01-31,Finishing,4,1,97
2026-02-01,Tanning,5,1,87
2026-02-01,Drying,3,1,137
2026-02-01,Finishing,8,1,66
2026-02-02,Tanning,7,1,51
2026-02-02,Drying,3,2,137
2026-02-02,Finishing,3,1,66
2026-02-03,Tanning,7,2,143
2026-02-03,Drying,4,3,134
2026-02-03,Finishing,7,2,104
2026-02-04,Tanning,7,2,66
2026-02-04,Drying,4,2,133
2026-02-04,Finishing,7,1,131
2026-02-05,Tanning,3,1,63
2026-02-05,Drying,3,1,144
2026-02-05,Finishing,6,2,69
2026-02-06,Tanning,9,3,58
2026-02-06,Drying,7,3,76
2026-02-06,Finishing,9,1,68
2026-02-07,Tanning,4,2,138
2026-02-07,Drying,4,2,95
2026-02-07,Finishing,6,1,131
2026-02-08,Tanning,7,3,115
2026-02-08,Drying,3,2,68
2026-02-08,Finishing,3,1,125
2026-02-09,Tanning,3,3,52
2026-02-09,Drying,5,1,104
2026-02-09,Finishing,4,3,121
2026-02-10,Tanning,6,1,56
2026-02-10,Drying,8,2,149
2026-02-10,Finishing,7,2,111
2026-02-11,Tanning,3,1,74
2026-02-11,Drying,4,2,129
2026-02-11,Finishing,4,1,141
2026-02-12,Tanning,8,3,127
2026-02-12,Drying,5,2,139
2026-02-12,Finishing,8,3,82
2026-02-13,Tanning,4,1,94
2026-02-13,Drying,6,3,116
2026-02-13,Finishing,6,1,75
2026-02-14,Tanning,5,2,63
2026-02-14,Drying,6,2,98
2026-02-14,Finishing,6,2,93
2026-02-15,Tanning,3,1,127
2026-02-15,Drying,8,2,75
2026-02-15,Finishing,7,2,122
2026-02-16,Tanning,9,3,126
2026-02-16,Drying,9,1,97
2026-02-16,Finishing,6,2,133
2026-02-17,Tanning,6,3,95
2026-02-17,Drying,5,3,61
2026-02-17,Finishing,4,2,65
2026-02-18,Tanning,5,2,93
2026-02-18,Drying,7,2,55
2026-02-18,Finishing,7,2,67
2026-02-19,Tanning,6,3,143
2026-02-19,Drying,7,3,120
2026-02-19,Finishing,5,2,133
2026-02-20,Tanning,5,1,97
2026-02-20,Drying,9,3,118
2026-02-20,Finishing,5,3,113
2026-02-21,Tanning,5,2,118
2026-02-21,Drying,9,1,86
2026-02-21,Finishing,3,3,52
2026-02-22,Tanning,7,2,66
2026-02-22,Drying,4,1,121
2026-02-22,Finishing,7,1,60
2026-02-23,Tanning,8,2,137
2026-02-23,Drying,7,3,63
2026-02-23,Finishing,9,2,59
2026-02-24,Tanning,6,2,83
2026-02-24,Drying,3,2,66
2026-02-24,Finishing,3,3,111
2026-02-25,Tanning,9,3,50
2026-02-25,Drying,6,3,53
2026-02-25,Finishing,4,1,147
2026-02-26,Tanning,4,1,135
2026-02-26,Drying,3,2,118
2026-02-26,Finishing,5,2,61
2026-02-27,Tanning,3,2,147
2026-02-27,Drying,8,1,100
2026-02-27,Finishing,5,3,106
2026-02-28,Tanning,9,1,51
2026-02-28,Drying,4,3,102
2026-02-28,Finishing,6,2,134
2026-03-01,Tanning,6,1,125
2026-03-01,Drying,7,2,103
2026-03-01,Finishing,4,1,135
2026-03-02,Tanning,7,2,143
2026-03-02,Drying,9,3,56
2026-03-02,Finishing,3,1,75
2026-03-03,Tanning,8,2,110
2026-03-03,Drying,6,2,93
2026-03-03,Finishing,4,3,111
2026-03-04,Tanning,4,2,66
2026-03-04,Drying,5,2,87
2026-03-04,Finishing,5,2,121
2026-03-05,Tanning,7,2,134
2026-03-05,Drying,3,2,88
2026-03-05,Finishing,3,3,67
2026-03-06,Tanning,6,1,145
2026-03-06,Drying,6,2,76
2026-03-06,Finishing,4,2,101
2026-03-07,Tanning,4,2,75
2026-03-07,Drying,3,3,72
2026-03-07,Finishing,4,1,101
2026-03-08,Tanning,8,3,142
2026-03-08,Drying,9,3,82
2026-03-08,Finishing,7,2,67
2026-03-09,Tanning,9,1,147
2026-03-09,Drying,6,3,100
2026-03-09,Finishing,4,1,67
2026-03-10,Tanning,8,2,137
2026-03-10,Drying,7,2,93
2026-03-10,Finishing,7,2,136
2026-03-11,Tanning,6,1,60
2026-03-11,Drying,4,2,139
2026-03-11,Finishing,6,1,96
2026-03-12,Tanning,7,1,117
2026-03-12,Drying,4,3,131
2026-03-12,Finishing,7,2,68
2026-03-13,Tanning,4,3,103
2026-03-13,Drying,3,2,102
2026-03-13,Finishing,3,2,106
2026-03-14,Tanning,7,2,79
2026-03-14,Drying,8,1,132
2026-03-14,Finishing,7,3,139
2026-03-15,Tanning,5,2,125
2026-03-15,Drying,4,3,77
2026-03-15,Finishing,4,1,135
2026-03-16,Tanning,6,2,56
2026-03-16,Drying,4,2,137
2026-03-16,Finishing,6,3,89
2026-03-17,Tanning,8,1,81
2026-03-17,Drying,9,1,62
2026-03-17,Finishing,7,3,123
2026-03-18,Tanning,6,1,90
2026-03-18,Drying,7,2,99
2026-03-18,Finishing,9,2,56
2026-03-19,Tanning,6,3,64
2026-03-19,Drying,6,1,119
2026-03-19,Finishing,3,3,75
2026-03-20,Tanning,7,1,72
2026-03-20,Drying,7,1,140
2026-03-20,Finishing,9,1,72
2026-03-21,Tanning,5,2,110
2026-03-21,Drying,9,3,102
2026-03-21,Finishing,4,1,93
2026-03-22,Tanning,6,2,146
2026-03-22,Drying,6,1,61
2026-03-22,Finishing,7,2,103
2026-03-23,Tanning,6,3,118
2026-03-23,Drying,4,2,147
2026-03-23,Finishing,7,3,107
2026-03-24,Tanning,8,3,91
2026-03-24,Drying,8,1,82
2026-03-24,Finishing,9,1,121
2026-03-25,Tanning,7,3,123
2026-03-25,Drying,5,1,64
2026-03-25,Finishing,8,3,54
2026-03-26,Tanning,7,3,103
2026-03-26,Drying,5,2,61
2026-03-26,Finishing,8,3,67
2026-03-27,Tanning,6,1,136
2026-03-27,Drying,6,2,85
2026-03-27,Finishing,7,3,58
2026-03-28,Tanning,7,1,67
2026-03-28,Drying,5,3,112
2026-03-28,Finishing,3,3,147
2026-03-29,Tanning,3,2,53
2026-03-29,Drying,7,1,94
2026-03-29,Finishing,4,3,77
2026-03-30,Tanning,4,1,147
2026-03-30,Drying,4,1,88
2026-03-30,Finishing,4,1,140
2026-03-31,Tanning,5,2,91
2026-03-31,Drying,8,3,139
2026-03-31,Finishing,3,2,87
2026-04-01,Tanning,9,2,53
2026-04-01,Drying,3,3,122
2026-04-01,Finishing,6,3,136
2026-04-02,Tanning,4,1,137
2026-04-02,Drying,9,2,144
2026-04-02,Finishing,9,3,89
2026-04-03,Tanning,5,3,147
2026-04-03,Drying,9,1,139
2026-04-03,Finishing,3,3,126
2026-04-04,Tanning,9,3,117
2026-04-04,Drying,8,2,85
2026-04-04,Finishing,5,2,135
2026-04-05,Tanning,4,1,98
2026-04-05,Drying,6,3,134
2026-04-05,Finishing,6,3,93
2026-04-06,Tanning,9,2,136
2026-04-06,Drying,8,1,133
2026-04-06,Finishing,9,3,77
2026-04-07,Tanning,7,1,128
2026-04-07,Drying,3,2,86
2026-04-07,Finishing,7,3,79
2026-04-08,Tanning,7,2,127
2026-04-08,Drying,8,3,93
2026-04-08,Finishing,9,1,93
2026-04-09,Tanning,7,3,83
2026-04-09,Drying,4,1,104
2026-04-09,Finishing,4,2,90
2026-04-10,Tanning,7,3,118
2026-04-10,Drying,4,2,59
2026-04-10,Finishing,8,3,109
2026-04-11,Tanning,5,1,57
2026-04-11,Drying,3,1,127
2026-04-11,Finishing,7,2,134
2026-04-12,Tanning,3,1,66
2026-04-12,Drying,7,2,106
2026-04-12,Finishing,8,3,101
2026-04-13,Tanning,7,2,92
2026-04-13,Drying,9,3,149
2026-04-13,Finishing,4,1,62
2026-04-14,Tanning,8,1,111
2026-04-14,Drying,7,3,98
2026-04-14,Finishing,6,2,59
2026-04-15,Tanning,9,2,106
2026-04-15,Drying,3,3,107
2026-04-15,Finishing,5,1,141
2026-04-16,Tanning,9,2,136
2026-04-16,Drying,6,2,103
2026-04-16,Finishing,3,1,70
2026-04-17,Tanning,4,3,119
2026-04-17,Drying,3,1,68
2026-04-17,Finishing,3,1,52
2026-04-18,Tanning,4,1,148
2026-04-18,Drying,3,3,74
2026-04-18,Finishing,9,1,104
2026-04-19,Tanning,6,1,147
2026-04-19,Drying,7,3,136
2026-04-19,Finishing,8,3,126
2026-04-20,Tanning,3,3,122
2026-04-20,Drying,3,1,115
2026-04-20,Finishing,5,3,56
2026-04-21,Tanning,8,3,91
2026-04-21,Drying,4,3,69
2026-04-21,Finishing,3,1,76
2026-04-22,Tanning,9,2,112
2026-04-22,Drying,8,3,66
2026-04-22,Finishing,7,3,131
2026-04-23,Tanning,7,2,120
2026-04-23,Drying,3,3,85
2026-04-23,Finishing,7,2,74
2026-04-24,Tanning,7,2,125
2026-04-24,Drying,6,1,122
2026-04-24,Finishing,6,3,73
2026-04-25,Tanning,8,1,67
2026-04-25,Drying,4,1,132
2026-04-25,Finishing,6,2,66
2026-04-26,Tanning,8,3,148
2026-04-26,Drying,9,1,50
2026-04-26,Finishing,9,1,64
2026-04-27,Tanning,6,1,84
2026-04-27,Drying,8,3,132
2026-04-27,Finishing,7,1,134
2026-04-28,Tanning,3,1,50
2026-04-28,Drying,4,3,108
2026-04-28,Finishing,8,3,135
2026-04-29,Tanning,4,2,81
2026-04-29,Drying,5,2,88
2026-04-29,Finishing,3,1,131
2026-04-30,Tanning,6,2,144
2026-04-30,Drying,8,2,120
2026-04-30,Finishing,6,2,87
