date,product_type,quantity_produced,Hides_kg,Chrome_Chemicals_L,Dyes_kg,Salt_kg
2024-02-17,Belt,125.0,52.89,17.7,9.23,12.02
2024-02-17,Bag,33.0,33.55,12.51,5.82,8.33
2024-02-17,Shoe Leather,67.0,45.51,19.1,7.67,14.01
2024-02-17,Jacket Leather,49.0,99.16,33.65,13.8,24.85
2024-02-17,Wallet,100.0,34.38,10.56,5.35,8.06
2024-02-17,Custom,174.0,214.21,73.78,33.04,58.95
2024-02-18,Belt,98.0,44.43,13.63,7.45,10.69
2024-02-18,Bag,110.0,125.23,45.12,18.2,29.71
2024-02-18,Shoe Leather,107.0,72.1,30.36,11.3,24.47
2024-02-18,Jacket Leather,153.0,329.96,107.57,45.62,78.79
2024-02-18,Wallet,123.0,39.4,13.37,7.44,10.64
2024-02-18,Custom,102.0,146.49,47.16,20.9,35.88
2024-02-19,Belt,34.0,15.57,4.52,2.61,3.63
2024-02-19,Bag,73.0,71.96,29.33,12.21,20.01
2024-02-19,Shoe Leather,90.0,62.83,22.68,9.34,21.03
2024-02-19,Jacket Leather,76.0,166.26,46.38,20.93,41.94
2024-02-19,Wallet,154.0,57.87,16.17,8.56,11.55
2024-02-19,Custom,34.0,44.81,15.99,7.12,10.84
2024-02-20,Belt,130.0,50.45,18.73,9.54,12.73
2024-02-20,Bag,46.0,44.43,19.7,7.76,12.26
2024-02-20,Shoe Leather,119.0,86.52,32.8,13.59,23.63
2024-02-20,Jacket Leather,174.0,319.38,131.16,43.35,88.87
2024-02-20,Wallet,44.0,13.52,4.28,2.56,3.95
2024-02-20,Custom,78.0,97.0,37.51,16.29,26.13
2024-02-21,Belt,58.0,21.26,7.82,4.47,6.2
2024-02-21,Bag,170.0,184.81,69.91,29.03,42.52
2024-02-21,Shoe Leather,126.0,78.91,31.37,14.53,27.88
2024-02-21,Jacket Leather,30.0,66.19,18.43,8.29,15.81
2024-02-21,Wallet,27.0,10.18,2.73,1.65,2.47
2024-02-21,Custom,160.0,224.63,75.15,32.76,58.8
2024-02-22,Belt,114.0,42.05,17.49,8.33,12.46
2024-02-22,Bag,141.0,166.48,61.93,23.98,38.68
2024-02-22,Shoe Leather,175.0,123.41,52.38,16.75,40.82
2024-02-22,Jacket Leather,158.0,355.79,113.75,39.08,81.77
2024-02-22,Wallet,78.0,27.29,8.67,4.97,6.3
2024-02-22,Custom,89.0,129.64,40.11,19.13,29.46
2024-02-23,Belt,66.0,28.17,9.02,4.81,7.19
2024-02-23,Bag,138.0,154.93,55.25,22.39,35.11
2024-02-23,Shoe Leather,51.0,32.87,12.58,5.53,11.22
2024-02-23,Jacket Leather,82.0,176.74,56.16,22.47,48.82
2024-02-23,Wallet,148.0,45.34,15.12,8.47,11.91
2024-02-23,Custom,53.0,67.49,24.69,10.31,18.18
2024-02-24,Belt,60.0,25.82,9.28,3.8,5.93
2024-02-24,Bag,87.0,97.22,38.9,13.56,25.71
2024-02-24,Shoe Leather,35.0,22.44,9.47,3.48,6.92
2024-02-24,Jacket Leather,117.0,226.56,76.34,33.6,63.66
2024-02-24,Wallet,138.0,43.04,15.31,7.96,12.54
2024-02-24,Custom,95.0,118.29,41.71,19.75,30.24
2024-02-25,Belt,136.0,52.18,18.34,10.19,13.42
2024-02-25,Bag,170.0,202.35,69.83,29.86,46.54
2024-02-25,Shoe Leather,119.0,81.69,29.56,11.27,25.95
2024-02-25,Jacket Leather,40.0,87.96,25.68,10.15,22.13
2024-02-25,Wallet,121.0,39.94,13.88,7.5,10.06
2024-02-25,Custom,96.0,137.46,42.96,20.49,32.18
2024-02-26,Belt,94.0,35.48,13.66,6.59,10.17
2024-02-26,Bag,163.0,166.48,72.39,26.69,44.44
2024-02-26,Shoe Leather,143.0,87.7,39.87,15.49,30.59
2024-02-26,Jacket Leather,134.0,257.53,93.61,32.71,66.71
2024-02-26,Wallet,74.0,23.39,8.19,4.28,6.03
2024-02-26,Custom,157.0,222.0,66.1,30.26,57.05
2024-02-27,Belt,78.0,33.44,11.12,5.21,7.47
2024-02-27,Bag,101.0,111.18,40.58,16.11,26.33
2024-02-27,Shoe Leather,34.0,22.99,8.25,3.78,6.7
2024-02-27,Jacket Leather,142.0,275.37,98.96,39.96,72.56
2024-02-27,Wallet,70.0,22.87,7.63,4.52,5.92
2024-02-27,Custom,51.0,72.58,23.89,9.27,17.68
2024-02-28,Belt,52.0,23.49,7.54,3.86,5.11
2024-02-28,Bag,108.0,106.73,43.95,18.73,28.24
2024-02-28,Shoe Leather,135.0,101.57,36.34,13.94,26.28
2024-02-28,Jacket Leather,115.0,216.85,86.74,33.96,62.79
2024-02-28,Wallet,120.0,42.38,11.59,6.69,10.47
2024-02-28,Custom,49.0,60.72,24.53,10.33,17.37
2024-02-29,Belt,137.0,51.68,18.17,9.32,14.1
2024-02-29,Bag,25.0,29.3,10.32,3.91,6.56
2024-02-29,Shoe Leather,144.0,107.37,42.01,14.13,32.31
2024-02-29,Jacket Leather,138.0,309.0,100.79,34.88,81.19
2024-02-29,Wallet,57.0,19.52,6.17,3.46,4.7
2024-02-29,Custom,130.0,162.75,57.53,27.81,42.76
2024-03-01,Belt,173.0,66.13,25.38,11.78,20.12
2024-03-01,Bag,35.0,40.55,13.31,6.22,10.34
2024-03-01,Shoe Leather,39.0,24.35,11.34,4.38,7.87
2024-03-01,Jacket Leather,178.0,387.3,125.74,44.28,95.87
2024-03-01,Wallet,49.0,15.62,4.68,3.02,3.68
2024-03-01,Custom,109.0,141.26,51.25,21.47,33.99
2024-03-02,Belt,147.0,53.92,18.56,10.57,15.07
2024-03-02,Bag,54.0,52.93,23.53,8.81,13.22
2024-03-02,Shoe Leather,36.0,25.86,9.98,3.64,7.5
2024-03-02,Jacket Leather,149.0,280.58,93.61,38.69,73.9
2024-03-02,Wallet,98.0,34.79,10.63,5.93,7.6
2024-03-02,Custom,117.0,161.97,52.72,23.99,40.1
2024-03-03,Belt,186.0,70.6,28.43,12.99,18.42
2024-03-03,Bag,32.0,35.21,13.27,4.96,8.55
2024-03-03,Shoe Leather,146.0,89.03,38.7,15.36,27.68
2024-03-03,Jacket Leather,97.0,201.04,68.79,24.53,53.87
2024-03-03,Wallet,38.0,11.54,3.78,2.45,3.31
2024-03-03,Custom,182.0,221.75,83.11,34.51,63.87
2024-03-04,Belt,160.0,70.71,20.66,11.27,15.68
2024-03-04,Bag,73.0,74.5,30.95,12.78,20.18
2024-03-04,Shoe Leather,167.0,113.1,47.98,19.18,38.84
2024-03-04,Jacket Leather,41.0,87.0,30.87,11.92,20.36
2024-03-04,Wallet,113.0,41.44,10.81,7.23,9.25
2024-03-04,Custom,57.0,74.76,26.37,10.67,20.92
2024-03-05,Belt,104.0,43.1,13.62,7.73,11.07
2024-03-05,Bag,117.0,114.31,43.39,20.25,32.69
2024-03-05,Shoe Leather,187.0,115.94,45.34,21.72,41.59
2024-03-05,Jacket Leather,78.0,157.88,58.94,23.28,46.3
2024-03-05,Wallet,51.0,16.94,5.32,3.05,4.52
2024-03-05,Custom,33.0,42.75,14.06,6.06,12.48
2024-03-06,Belt,148.0,64.57,21.49,10.21,14.72
2024-03-06,Bag,70.0,71.94,27.4,10.49,20.83
2024-03-06,Shoe Leather,133.0,81.93,39.59,14.98,26.93
2024-03-06,Jacket Leather,28.0,57.94,19.35,7.94,16.08
2024-03-06,Wallet,138.0,43.49,13.15,7.42,11.56
2024-03-06,Custom,164.0,215.49,77.81,31.94,51.82
2024-03-07,Belt,168.0,75.52,24.62,11.86,15.95
2024-03-07,Bag,160.0,165.29,70.31,28.38,46.49
2024-03-07,Shoe Leather,184.0,118.53,52.31,19.25,41.66
2024-03-07,Jacket Leather,120.0,246.31,76.03,29.28,62.22
2024-03-07,Wallet,161.0,60.56,18.62,8.54,12.31
2024-03-07,Custom,52.0,73.32,22.4,11.46,17.74
2024-03-08,Belt,162.0,71.45,23.97,11.52,17.46
2024-03-08,Bag,192.0,212.16,72.23,29.2,47.33
2024-03-08,Shoe Leather,123.0,86.47,35.17,12.1,25.86
2024-03-08,Jacket Leather,156.0,337.49,111.57,45.49,80.18
2024-03-08,Wallet,84.0,30.34,8.29,4.98,7.23
2024-03-08,Custom,166.0,232.71,75.77,33.35,56.72
2024-03-09,Belt,107.0,47.23,16.17,6.77,11.93
2024-03-09,Bag,189.0,198.57,74.86,28.77,48.96
2024-03-09,Shoe Leather,76.0,52.16,19.02,7.89,16.67
2024-03-09,Jacket Leather,150.0,330.63,104.46,39.68,79.73
2024-03-09,Wallet,119.0,36.2,12.88,6.76,10.38
2024-03-09,Custom,44.0,58.35,22.38,8.83,15.74
2024-03-10,Belt,98.0,37.99,14.43,6.26,10.34
2024-03-10,Bag,168.0,193.74,65.82,29.6,45.47
2024-03-10,Shoe Leather,125.0,78.89,35.21,13.92,29.17
2024-03-10,Jacket Leather,131.0,283.51,89.88,35.06,65.69
2024-03-10,Wallet,191.0,68.27,19.04,10.9,14.23
2024-03-10,Custom,68.0,102.23,35.11,14.08,22.92
2024-03-11,Belt,30.0,12.2,3.9,2.18,3.47
2024-03-11,Bag,138.0,145.17,57.5,23.07,34.72
2024-03-11,Shoe Leather,81.0,60.83,20.33,8.93,17.44
2024-03-11,Jacket Leather,132.0,255.95,90.51,34.22,78.21
2024-03-11,Wallet,179.0,65.61,17.83,10.25,14.61
2024-03-11,Custom,70.0,93.55,36.06,14.64,24.59
2024-03-12,Belt,140.0,60.15,19.65,9.7,15.47
