date,order_id,leather_type,grade,quantity,due_days
2026-02-27,O9915,Cow,B,165,3
2026-02-28,O1155,Sheep,C,553,9
2026-02-28,O6779,Cow,C,954,3
2026-02-28,O7659,Goat,A,914,6
2026-02-28,O8358,Cow,C,412,5
2026-02-28,O1948,Goat,B,559,1
2026-02-28,O5646,Cow,C,863,2
2026-02-28,O2138,Cow,B,350,7
2026-02-28,O4674,Goat,B,649,4
2026-02-28,O5596,Goat,C,758,4
2026-02-28,O9472,Goat,B,713,7
2026-02-28,O5757,Cow,C,721,3
2026-02-28,O3946,Goat,C,812,4
2026-03-01,O8230,Cow,C,735,7
2026-03-01,O2531,Sheep,C,497,8
2026-03-01,O1933,Cow,A,775,8
2026-03-01,O1285,Cow,A,475,4
2026-03-01,O2762,Cow,C,433,9
2026-03-01,O6827,Sheep,B,972,6
2026-03-01,O4198,Sheep,C,115,1
2026-03-01,O3479,Goat,C,878,2
2026-03-01,O2492,Sheep,A,424,4
2026-03-01,O8851,Cow,A,300,9
2026-03-01,O5577,Cow,A,442,8
2026-03-02,O7317,Sheep,C,972,3
2026-03-02,O7748,Goat,A,918,6
2026-03-02,O4740,Sheep,C,554,4
2026-03-02,O6525,Cow,C,953,2
2026-03-02,O3007,Goat,C,460,1
2026-03-02,O5005,Goat,B,764,2
2026-03-02,O7716,Goat,B,382,8
2026-03-02,O4451,Goat,A,540,1
2026-03-02,O9333,Sheep,A,951,8
2026-03-02,O6808,Cow,A,148,1
2026-03-03,O5650,Cow,B,906,5
2026-03-03,O4828,Cow,B,717,6
2026-03-03,O7376,Cow,A,916,9
2026-03-03,O1855,Cow,C,670,7
2026-03-03,O1182,Cow,C,496,3
2026-03-03,O6002,Cow,C,657,1
2026-03-03,O9210,Cow,A,208,1
2026-03-03,O7246,Goat,A,619,9
2026-03-03,O9365,Sheep,B,530,7
2026-03-03,O4760,Sheep,B,757,2
2026-03-03,O6443,Goat,A,738,4
2026-03-03,O1593,Cow,C,850,8
2026-03-04,O4808,Goat,C,754,9
2026-03-04,O6889,Sheep,A,204,2
2026-03-04,O2842,Sheep,A,365,2
2026-03-04,O5658,Goat,A,476,7
2026-03-04,O1770,Goat,C,728,2
2026-03-04,O2628,Goat,C,449,8
2026-03-04,O7401,Cow,A,367,3
2026-03-04,O3282,Cow,C,912,5
2026-03-05,O5669,Cow,C,322,9
2026-03-05,O8446,Cow,B,895,5
2026-03-05,O2130,Goat,C,528,7
2026-03-05,O3120,Cow,B,733,2
2026-03-05,O2823,Sheep,C,255,9
2026-03-05,O4134,Sheep,C,659,9
2026-03-05,O2141,Cow,C,389,8
2026-03-05,O8835,Cow,C,295,5
2026-03-05,O5928,Cow,C,247,3
2026-03-06,O8611,Goat,C,526,1
2026-03-06,O2829,Cow,B,787,4
2026-03-06,O2054,Cow,A,533,5
2026-03-06,O8069,Sheep,C,174,4
2026-03-06,O8833,Sheep,B,462,3
2026-03-06,O3309,Sheep,A,344,5
2026-03-06,O3169,Cow,A,269,5
2026-03-06,O7789,Goat,A,468,4
2026-03-06,O2936,Cow,B,167,5
2026-03-06,O4236,Cow,A,773,6
2026-03-06,O5916,Sheep,C,998,2
2026-03-06,O2439,Cow,C,861,1
2026-03-06,O1340,Goat,C,632,7
2026-03-06,O5931,Sheep,A,703,8
2026-03-07,O6004,Sheep,B,238,4
2026-03-07,O7652,Cow,C,863,2
2026-03-07,O3151,Goat,A,763,3
